Local time,Open,High,Low,Close,Volume
31.12.2012 17:00:00.000 GMT-0500,1.31935,1.32005,1.31903,1.31954,1248.17
01.01.2013 17:00:00.000 GMT-0500,1.31936,1.32991,1.31570,1.31857,174196.8692
02.01.2013 17:00:00.000 GMT-0500,1.31860,1.31894,1.30467,1.30484,168861.14010000002
03.01.2013 17:00:00.000 GMT-0500,1.30486,1.30892,1.29971,1.30678,173469.15149999998
06.01.2013 17:00:00.000 GMT-0500,1.30745,1.31192,1.30165,1.31157,161896.51099999997
07.01.2013 17:00:00.000 GMT-0500,1.31159,1.31393,1.30566,1.30809,165745.0496
08.01.2013 17:00:00.000 GMT-0500,1.30807,1.30956,1.30362,1.30639,161277.54829999997
09.01.2013 17:00:00.000 GMT-0500,1.30634,1.32724,1.30385,1.32716,184854.93969999996
10.01.2013 17:00:00.000 GMT-0500,1.32720,1.33653,1.32479,1.33424,191324.7196
13.01.2013 17:00:00.000 GMT-0500,1.33605,1.34037,1.33356,1.33789,161108.63019999999
14.01.2013 17:00:00.000 GMT-0500,1.33791,1.33933,1.32720,1.33050,170506.4808
15.01.2013 17:00:00.000 GMT-0500,1.33048,1.33246,1.32565,1.32888,162741.3893
16.01.2013 17:00:00.000 GMT-0500,1.32887,1.33873,1.32696,1.33736,171213.4524
17.01.2013 17:00:00.000 GMT-0500,1.33737,1.33980,1.32803,1.33180,173298.74
20.01.2013 17:00:00.000 GMT-0500,1.33107,1.33319,1.32998,1.33123,91669.56030000001
21.01.2013 17:00:00.000 GMT-0500,1.33123,1.33712,1.32668,1.33215,178528.19909999994
22.01.2013 17:00:00.000 GMT-0500,1.33211,1.33542,1.32655,1.33174,150102.2298
23.01.2013 17:00:00.000 GMT-0500,1.33175,1.33925,1.32859,1.33766,179449.69149999996
24.01.2013 17:00:00.000 GMT-0500,1.33764,1.34788,1.33497,1.34587,192054.9505
27.01.2013 17:00:00.000 GMT-0500,1.34651,1.34765,1.34244,1.34554,153733.91839999997
28.01.2013 17:00:00.000 GMT-0500,1.34554,1.34968,1.34140,1.34913,174918.32840000003
29.01.2013 17:00:00.000 GMT-0500,1.34912,1.35870,1.34817,1.35667,174296.41960000002
30.01.2013 17:00:00.000 GMT-0500,1.35667,1.35928,1.35408,1.35776,161826.77089999997
31.01.2013 17:00:00.000 GMT-0500,1.35772,1.37108,1.35732,1.36391,214936.72149999999
03.02.2013 17:00:00.000 GMT-0500,1.36521,1.36571,1.35050,1.35129,168116.0993
04.02.2013 17:00:00.000 GMT-0500,1.35134,1.35972,1.34577,1.35831,198695.4879
05.02.2013 17:00:00.000 GMT-0500,1.35829,1.35957,1.34951,1.35213,183396.18899999995
06.02.2013 17:00:00.000 GMT-0500,1.35213,1.35769,1.33706,1.33964,201749.60079999996
07.02.2013 17:00:00.000 GMT-0500,1.33964,1.34288,1.33531,1.33662,166943.16019999998
10.02.2013 17:00:00.000 GMT-0500,1.33673,1.34273,1.33570,1.34060,143133.11080000002
