Local time,Open,High,Low,Close,Volume
01.01.2012 17:00:00.000 GMT-0500,1.02073,1.02102,1.01714,1.01842,23614.630099999995
02.01.2012 17:00:00.000 GMT-0500,1.01847,1.01995,1.00758,1.01039,125968.38
03.01.2012 17:00:00.000 GMT-0500,1.01031,1.01615,1.01020,1.01264,149315.1084
04.01.2012 17:00:00.000 GMT-0500,1.01267,1.02251,1.01205,1.01969,177232.95009999996
05.01.2012 17:00:00.000 GMT-0500,1.01969,1.02859,1.01696,1.02819,151716.43990000003
08.01.2012 17:00:00.000 GMT-0500,1.02779,1.03184,1.02240,1.02335,160265.27070000002
09.01.2012 17:00:00.000 GMT-0500,1.02334,1.02398,1.01540,1.01548,149623.0992
10.01.2012 17:00:00.000 GMT-0500,1.01548,1.02098,1.01394,1.01944,161254.8997
11.01.2012 17:00:00.000 GMT-0500,1.01948,1.02108,1.01399,1.01901,159446.63059999997
12.01.2012 17:00:00.000 GMT-0500,1.01906,1.02829,1.01629,1.02302,166225.3899
15.01.2012 17:00:00.000 GMT-0500,1.02454,1.02524,1.01640,1.01783,120126.48990000002
16.01.2012 17:00:00.000 GMT-0500,1.01784,1.01876,1.01121,1.01514,164738.162
17.01.2012 17:00:00.000 GMT-0500,1.01515,1.01771,1.01102,1.01106,183325.5291
18.01.2012 17:00:00.000 GMT-0500,1.01110,1.01273,1.00706,1.01059,170003.13030000002
19.01.2012 17:00:00.000 GMT-0500,1.01061,1.01599,1.01058,1.01303,159985.2517
22.01.2012 17:00:00.000 GMT-0500,1.01419,1.01597,1.00520,1.00821,137960.09970000002
23.01.2012 17:00:00.000 GMT-0500,1.00822,1.01405,1.00703,1.00886,142981.75090000004
24.01.2012 17:00:00.000 GMT-0500,1.00887,1.01476,1.00280,1.00420,165236.96920000002
25.01.2012 17:00:00.000 GMT-0500,1.00419,1.00478,0.99810,1.00158,159422.95929999996
26.01.2012 17:00:00.000 GMT-0500,1.00167,1.00406,0.99875,1.00138,155487.8495
29.01.2012 17:00:00.000 GMT-0500,1.00100,1.00698,1.00089,1.00137,151182.4285
30.01.2012 17:00:00.000 GMT-0500,1.00142,1.00531,0.99649,1.00250,182586.89029999997
31.01.2012 17:00:00.000 GMT-0500,1.00241,1.00480,0.99635,0.99853,189297.43019999997
01.02.2012 17:00:00.000 GMT-0500,0.99860,1.00101,0.99678,0.99918,178539.7903
02.02.2012 17:00:00.000 GMT-0500,0.99916,1.00329,0.99275,0.99337,179712.9293
05.02.2012 17:00:00.000 GMT-0500,0.99433,0.99932,0.99280,0.99583,155536.62960000001
06.02.2012 17:00:00.000 GMT-0500,0.99589,0.99948,0.99405,0.99450,161644.0102
07.02.2012 17:00:00.000 GMT-0500,0.99440,0.99899,0.99345,0.99586,151466.4006
