Local time,Open,High,Low,Close,Volume
01.01.2012 00:00:00.000 GMT+0200,1.29578,1.29578,1.29484,1.29484,0
02.01.2012 00:00:00.000 GMT+0200,1.29368,1.29639,1.29173,1.29335,60531689758.301094
03.01.2012 00:00:00.000 GMT+0200,1.29335,1.30758,1.29310,1.30491,258224580078.1251
04.01.2012 00:00:00.000 GMT+0200,1.30491,1.30726,1.28994,1.29425,270981167968.7502
05.01.2012 00:00:00.000 GMT+0200,1.29423,1.29448,1.27723,1.27879,310175892822.2657
06.01.2012 00:00:00.000 GMT+0200,1.27879,1.28121,1.26978,1.27186,272666349853.5158
09.01.2012 00:00:00.000 GMT+0200,1.26911,1.27850,1.26666,1.27647,279622923828.1253
10.01.2012 00:00:00.000 GMT+0200,1.27647,1.28172,1.27427,1.27771,291749097412.1096
11.01.2012 00:00:00.000 GMT+0200,1.27769,1.27893,1.26654,1.27062,300566197265.6251
12.01.2012 00:00:00.000 GMT+0200,1.27062,1.28442,1.26992,1.28144,340752989746.0939
13.01.2012 00:00:00.000 GMT+0200,1.28144,1.28778,1.26287,1.26772,321673180664.0626
16.01.2012 00:00:00.000 GMT+0200,1.26311,1.26873,1.26262,1.26664,230177099365.23483
17.01.2012 00:00:00.000 GMT+0200,1.26664,1.28042,1.26482,1.27360,285742982177.7345
18.01.2012 00:00:00.000 GMT+0200,1.27361,1.28676,1.27336,1.28627,292072152099.6095
19.01.2012 00:00:00.000 GMT+0200,1.28634,1.29708,1.28388,1.29681,277606340576.172
20.01.2012 00:00:00.000 GMT+0200,1.29675,1.29855,1.28894,1.29308,241373357421.8752
23.01.2012 00:00:00.000 GMT+0200,1.28761,1.30523,1.28758,1.30122,221071819335.93793
24.01.2012 00:00:00.000 GMT+0200,1.30132,1.30592,1.29530,1.30353,241089601562.5003
25.01.2012 00:00:00.000 GMT+0200,1.30355,1.31202,1.29307,1.31057,258101878417.9688
26.01.2012 00:00:00.000 GMT+0200,1.31059,1.31795,1.30900,1.31080,263854136962.89072
27.01.2012 00:00:00.000 GMT+0200,1.31079,1.32304,1.30774,1.32158,269356083496.094
30.01.2012 00:00:00.000 GMT+0200,1.32192,1.32254,1.30791,1.31429,279136510253.9064
31.01.2012 00:00:00.000 GMT+0200,1.31430,1.32123,1.30431,1.30831,294323451660.1565
01.02.2012 00:00:00.000 GMT+0200,1.30830,1.32174,1.30260,1.31602,291731870117.1877
02.02.2012 00:00:00.000 GMT+0200,1.31602,1.31966,1.30864,1.31433,265965166015.62518
03.02.2012 00:00:00.000 GMT+0200,1.31435,1.31913,1.30680,1.31563,262545062011.719
06.02.2012 00:00:00.000 GMT+0200,1.31110,1.31411,1.30277,1.31296,252017092529.29718
07.02.2012 00:00:00.000 GMT+0200,1.31300,1.32692,1.30889,1.32601,272720199707.0315
08.02.2012 00:00:00.000 GMT+0200,1.32602,1.32859,1.32228,1.32597,261516019287.10962
09.02.2012 00:00:00.000 GMT+0200,1.32598,1.33193,1.32183,1.32853,260713968261.719
10.02.2012 00:00:00.000 GMT+0200,1.32853,1.32900,1.31561,1.31961,223433661132.81284
13.02.2012 00:00:00.000 GMT+0200,1.32042,1.32826,1.31858,1.31860,229233261962.89102
14.02.2012 00:00:00.000 GMT+0200,1.31860,1.32155,1.30801,1.31303,240040179931.6406
15.02.2012 00:00:00.000 GMT+0200,1.31306,1.31903,1.30441,1.30652,256764510986.3284
16.02.2012 00:00:00.000 GMT+0200,1.30653,1.31551,1.29751,1.31298,271309198974.6096
17.02.2012 00:00:00.000 GMT+0200,1.31299,1.31967,1.31149,1.31425,223042101318.35962
20.02.2012 00:00:00.000 GMT+0200,1.31795,1.32766,1.31733,1.32416,182804440185.5473
21.02.2012 00:00:00.000 GMT+0200,1.32420,1.32926,1.31870,1.32329,258064160888.67203
22.02.2012 00:00:00.000 GMT+0200,1.32329,1.32638,1.32109,1.32493,219631790039.06284
23.02.2012 00:00:00.000 GMT+0200,1.32494,1.33779,1.32318,1.33707,214070817382.8127
24.02.2012 00:00:00.000 GMT+0200,1.33707,1.34857,1.33568,1.34461,220856471435.5473
27.02.2012 00:00:00.000 GMT+0200,1.34612,1.34787,1.33658,1.33966,255751490234.37518
28.02.2012 00:00:00.000 GMT+0200,1.33967,1.34708,1.33901,1.34606,258419810546.87518
