DATE,DFF
01/01/2012,0.04
02/01/2012,0.04
03/01/2012,0.07
04/01/2012,0.07
05/01/2012,0.07
06/01/2012,0.07
07/01/2012,0.07
08/01/2012,0.07
09/01/2012,0.08
10/01/2012,0.08
11/01/2012,0.08
12/01/2012,0.08
13/01/2012,0.09
14/01/2012,0.09
15/01/2012,0.09
16/01/2012,0.09
17/01/2012,0.09
18/01/2012,0.09
19/01/2012,0.1
20/01/2012,0.09
21/01/2012,0.09
22/01/2012,0.09
23/01/2012,0.09
24/01/2012,0.09
25/01/2012,0.08
26/01/2012,0.08
27/01/2012,0.09
28/01/2012,0.09
29/01/2012,0.09
30/01/2012,0.09
31/01/2012,0.11
01/02/2012,0.11
02/02/2012,0.11
03/02/2012,0.11
04/02/2012,0.11
05/02/2012,0.11
06/02/2012,0.11
07/02/2012,0.11
08/02/2012,0.11
09/02/2012,0.11
10/02/2012,0.12
11/02/2012,0.12
12/02/2012,0.12
13/02/2012,0.12
14/02/2012,0.12
15/02/2012,0.12
16/02/2012,0.11
17/02/2012,0.09
18/02/2012,0.09
19/02/2012,0.09
20/02/2012,0.09
21/02/2012,0.1
22/02/2012,0.08
23/02/2012,0.08
24/02/2012,0.09
25/02/2012,0.09
26/02/2012,0.09
27/02/2012,0.1
28/02/2012,0.1
29/02/2012,0.1
01/03/2012,0.11
02/03/2012,0.11
03/03/2012,0.11
04/03/2012,0.11
05/03/2012,0.11
06/03/2012,0.11
07/03/2012,0.11
08/03/2012,0.11
09/03/2012,0.12
10/03/2012,0.12
11/03/2012,0.12
12/03/2012,0.12
13/03/2012,0.12
14/03/2012,0.13
15/03/2012,0.14
16/03/2012,0.15
17/03/2012,0.15
18/03/2012,0.15
19/03/2012,0.15
20/03/2012,0.15
21/03/2012,0.15
22/03/2012,0.14
23/03/2012,0.14
24/03/2012,0.14
25/03/2012,0.14
26/03/2012,0.14
27/03/2012,0.14
28/03/2012,0.13
29/03/2012,0.13
30/03/2012,0.09
31/03/2012,0.09
01/04/2012,0.09
02/04/2012,0.15
03/04/2012,0.15
04/04/2012,0.15
05/04/2012,0.15
06/04/2012,0.12
07/04/2012,0.12
08/04/2012,0.12
09/04/2012,0.16
10/04/2012,0.15
11/04/2012,0.16
12/04/2012,0.15
13/04/2012,0.15
14/04/2012,0.15
15/04/2012,0.15
16/04/2012,0.15
17/04/2012,0.16
18/04/2012,0.15
19/04/2012,0.13
20/04/2012,0.12
21/04/2012,0.12
22/04/2012,0.12
23/04/2012,0.13
24/04/2012,0.14
25/04/2012,0.15
26/04/2012,0.14
27/04/2012,0.13
28/04/2012,0.13
29/04/2012,0.13
30/04/2012,0.16
01/05/2012,0.16
02/05/2012,0.15
03/05/2012,0.15
04/05/2012,0.16
05/05/2012,0.16
06/05/2012,0.16
07/05/2012,0.16
08/05/2012,0.16
09/05/2012,0.15
10/05/2012,0.15
11/05/2012,0.15
12/05/2012,0.15
13/05/2012,0.15
14/05/2012,0.16
15/05/2012,0.16
16/05/2012,0.16
17/05/2012,0.16
18/05/2012,0.16
19/05/2012,0.16
20/05/2012,0.16
21/05/2012,0.16
22/05/2012,0.16
23/05/2012,0.15
24/05/2012,0.15
25/05/2012,0.15
26/05/2012,0.15
27/05/2012,0.15
28/05/2012,0.15
29/05/2012,0.16
30/05/2012,0.16
31/05/2012,0.16
01/06/2012,0.16
02/06/2012,0.16
03/06/2012,0.16
04/06/2012,0.17
05/06/2012,0.17
06/06/2012,0.16
07/06/2012,0.16
08/06/2012,0.17
09/06/2012,0.17
10/06/2012,0.17
11/06/2012,0.17
12/06/2012,0.16
13/06/2012,0.17
14/06/2012,0.17
15/06/2012,0.18
16/06/2012,0.18
17/06/2012,0.18
18/06/2012,0.17
19/06/2012,0.17
20/06/2012,0.16
21/06/2012,0.17
22/06/2012,0.17
23/06/2012,0.17
24/06/2012,0.17
25/06/2012,0.17
26/06/2012,0.16
27/06/2012,0.15
28/06/2012,0.15
29/06/2012,0.09
30/06/2012,0.09
01/07/2012,0.09
02/07/2012,0.18
03/07/2012,0.17
04/07/2012,0.17
05/07/2012,0.17
06/07/2012,0.17
07/07/2012,0.17
08/07/2012,0.17
09/07/2012,0.17
10/07/2012,0.17
11/07/2012,0.17
12/07/2012,0.18
13/07/2012,0.19
14/07/2012,0.19
15/07/2012,0.19
16/07/2012,0.18
17/07/2012,0.17
18/07/2012,0.16
19/07/2012,0.13
20/07/2012,0.13
21/07/2012,0.13
22/07/2012,0.13
23/07/2012,0.14
24/07/2012,0.15
25/07/2012,0.15
26/07/2012,0.14
27/07/2012,0.14
28/07/2012,0.14
29/07/2012,0.14
30/07/2012,0.14
31/07/2012,0.13
01/08/2012,0.14
02/08/2012,0.14
03/08/2012,0.14
04/08/2012,0.14
05/08/2012,0.14
06/08/2012,0.14
07/08/2012,0.13
08/08/2012,0.13
09/08/2012,0.13
10/08/2012,0.13
11/08/2012,0.13
12/08/2012,0.13
13/08/2012,0.13
14/08/2012,0.13
15/08/2012,0.13
16/08/2012,0.13
17/08/2012,0.13
18/08/2012,0.13
19/08/2012,0.13
20/08/2012,0.13
21/08/2012,0.13
22/08/2012,0.13
23/08/2012,0.13
24/08/2012,0.13
25/08/2012,0.13
26/08/2012,0.13
27/08/2012,0.13
28/08/2012,0.13
29/08/2012,0.13
30/08/2012,0.14
31/08/2012,0.13
01/09/2012,0.13
02/09/2012,0.13
03/09/2012,0.13
04/09/2012,0.14
05/09/2012,0.16
06/09/2012,0.16
07/09/2012,0.15
08/09/2012,0.15
09/09/2012,0.15
10/09/2012,0.15
