Date,Price,Open,High,Low,Vol.,Change %,
01/03/2012,"1,277.06","1,258.86","1,284.62","1,258.86",,1.55%,"2,759.00"
01/04/2012,"1,277.30","1,277.03","1,278.73","1,268.10",,0.02%,"2,758.00"
01/05/2012,"1,281.06","1,277.30","1,283.05","1,265.26",,0.29%,"2,757.00"
01/06/2012,"1,277.81","1,280.93","1,281.84","1,273.34",,-0.25%,"2,756.00"
01/09/2012,"1,280.70","1,277.83","1,281.99","1,274.55",,0.23%,"2,755.00"
01/10/2012,"1,292.08","1,280.77","1,296.46","1,280.77",,0.89%,"2,754.00"
01/11/2012,"1,292.48","1,292.02","1,293.80","1,285.41",,0.03%,"2,753.00"
01/12/2012,"1,295.50","1,292.48","1,296.82","1,285.77",,0.23%,"2,752.00"
01/13/2012,"1,289.09","1,294.82","1,294.82","1,277.58",,-0.49%,"2,751.00"
01/17/2012,"1,293.67","1,290.22","1,303.00","1,290.22",,0.36%,"2,750.00"
01/18/2012,"1,308.04","1,293.65","1,308.11","1,290.99",,1.11%,"2,749.00"
01/19/2012,"1,314.50","1,308.07","1,315.49","1,308.07",,0.49%,"2,748.00"
01/20/2012,"1,315.38","1,314.49","1,315.38","1,309.17",,0.07%,"2,747.00"
01/23/2012,"1,316.00","1,315.29","1,322.28","1,309.89",,0.05%,"2,746.00"
01/24/2012,"1,314.65","1,315.96","1,315.96","1,306.06",,-0.10%,"2,745.00"
01/25/2012,"1,326.05","1,314.40","1,328.30","1,307.65",,0.87%,"2,744.00"
01/26/2012,"1,318.43","1,326.28","1,333.47","1,313.60",,-0.57%,"2,743.00"
01/27/2012,"1,316.33","1,318.25","1,320.06","1,311.72",,-0.16%,"2,742.00"
01/30/2012,"1,313.01","1,316.16","1,316.16","1,300.49",,-0.25%,"2,741.00"
01/31/2012,"1,312.41","1,313.53","1,321.41","1,306.69",,-0.05%,"2,740.00"
02/01/2012,"1,324.09","1,312.45","1,330.52","1,312.45",,0.89%,"2,739.00"
02/02/2012,"1,325.54","1,324.24","1,329.19","1,321.57",,0.11%,"2,738.00"
02/03/2012,"1,344.90","1,326.21","1,345.34","1,326.21",,1.46%,"2,737.00"
02/06/2012,"1,344.33","1,344.32","1,344.36","1,337.52",,-0.04%,"2,736.00"
02/07/2012,"1,347.05","1,344.33","1,349.24","1,335.92",,0.20%,"2,735.00"
02/08/2012,"1,349.96","1,347.04","1,351.00","1,341.95",,0.22%,"2,734.00"
02/09/2012,"1,351.95","1,349.97","1,354.32","1,344.63",,0.15%,"2,733.00"
02/10/2012,"1,342.64","1,351.21","1,351.21","1,337.35",,-0.69%,"2,732.00"
02/13/2012,"1,351.77","1,343.06","1,353.35","1,343.06",,0.68%,"2,731.00"
02/14/2012,"1,350.50","1,351.30","1,351.30","1,340.83",,-0.09%,"2,730.00"
02/15/2012,"1,343.23","1,350.52","1,355.87","1,340.80",,-0.54%,"2,729.00"
02/16/2012,"1,358.04","1,342.61","1,359.02","1,341.22",,1.10%,"2,728.00"
02/17/2012,"1,361.23","1,358.06","1,363.40","1,357.24",,0.23%,"2,727.00"
02/21/2012,"1,362.21","1,361.22","1,367.76","1,358.11",,0.07%,"2,726.00"
02/22/2012,"1,357.66","1,362.11","1,362.70","1,355.53",,-0.33%,"2,725.00"
