Date,Close*,Adj Close**,Volume,
"Nov 30, 2022","4,080.11","4,080.11","6,579,360,000",1.00
"Nov 29, 2022","3,957.63","3,957.63","3,546,040,000",2.00
"Nov 28, 2022","3,963.94","3,963.94","3,615,430,000",3.00
"Nov 25, 2022","4,026.12","4,026.12","1,706,460,000",4.00
"Nov 23, 2022","4,027.26","4,027.26","3,279,720,000",5.00
"Nov 22, 2022","4,003.58","4,003.58","3,887,990,000",6.00
"Nov 21, 2022","3,949.94","3,949.94","3,850,690,000",7.00
"Nov 18, 2022","3,965.34","3,965.34","4,037,360,000",8.00
"Nov 17, 2022","3,946.56","3,946.56","4,051,780,000",9.00
"Nov 16, 2022","3,958.79","3,958.79","4,165,320,000",10.00
"Nov 15, 2022","3,991.73","3,991.73","5,015,310,000",11.00
"Nov 14, 2022","3,957.25","3,957.25","4,561,930,000",12.00
"Nov 11, 2022","3,992.93","3,992.93","5,593,310,000",13.00
"Nov 10, 2022","3,956.37","3,956.37","5,781,260,000",14.00
"Nov 09, 2022","3,748.57","3,748.57","4,645,010,000",15.00
"Nov 08, 2022","3,828.11","3,828.11","4,607,640,000",16.00
"Nov 07, 2022","3,806.80","3,806.80","4,341,620,000",17.00
"Nov 04, 2022","3,770.55","3,770.55","5,400,180,000",18.00
"Nov 03, 2022","3,719.89","3,719.89","4,625,290,000",19.00
"Nov 02, 2022","3,759.69","3,759.69","4,899,000,000",20.00
"Nov 01, 2022","3,856.10","3,856.10","4,481,210,000",21.00
"Oct 31, 2022","3,871.98","3,871.98","4,820,620,000",22.00
"Oct 28, 2022","3,901.06","3,901.06","4,459,410,000",23.00
"Oct 27, 2022","3,807.30","3,807.30","4,687,320,000",24.00
"Oct 26, 2022","3,830.60","3,830.60","4,817,310,000",25.00
"Oct 25, 2022","3,859.11","3,859.11","4,843,120,000",26.00
"Oct 24, 2022","3,797.34","3,797.34","4,747,930,000",27.00
"Oct 21, 2022","3,752.75","3,752.75","5,078,020,000",28.00
"Oct 20, 2022","3,665.78","3,665.78","4,496,620,000",29.00
"Oct 19, 2022","3,695.16","3,695.16","4,223,800,000",30.00
"Oct 18, 2022","3,719.98","3,719.98","4,483,740,000",31.00
"Oct 17, 2022","3,677.95","3,677.95","4,352,780,000",32.00
"Oct 14, 2022","3,583.07","3,583.07","4,243,030,000",33.00
"Oct 13, 2022","3,669.91","3,669.91","5,021,680,000",34.00
"Oct 12, 2022","3,577.03","3,577.03","4,006,830,000",35.00
"Oct 11, 2022","3,588.84","3,588.84","4,759,030,000",36.00
"Oct 10, 2022","3,612.39","3,612.39","3,834,320,000",37.00
"Oct 07, 2022","3,639.66","3,639.66","4,449,660,000",38.00
"Oct 06, 2022","3,744.52","3,744.52","4,252,100,000",39.00
"Oct 05, 2022","3,783.28","3,783.28","4,293,180,000",40.00
"Oct 04, 2022","3,790.93","3,790.93","5,146,580,000",41.00
"Oct 03, 2022","3,678.43","3,678.43","4,806,680,000",42.00
"Sep 30, 2022","3,585.62","3,585.62","5,645,360,000",43.00
"Sep 29, 2022","3,640.47","3,640.47","4,681,810,000",44.00
"Sep 28, 2022","3,719.04","3,719.04","4,684,850,000",45.00
"Sep 27, 2022","3,647.29","3,647.29","4,577,740,000",46.00
"Sep 26, 2022","3,655.04","3,655.04","4,886,140,000",47.00
"Sep 23, 2022","3,693.23","3,693.23","5,144,270,000",48.00
"Sep 22, 2022","3,757.99","3,757.99","4,284,600,000",49.00
"Sep 21, 2022","3,789.93","3,789.93","4,078,330,000",50.00
"Sep 20, 2022","3,855.93","3,855.93","4,058,050,000",51.00
"Sep 19, 2022","3,899.89","3,899.89","3,766,850,000",52.00
"Sep 16, 2022","3,873.33","3,873.33","7,954,650,000",53.00
"Sep 15, 2022","3,901.35","3,901.35","4,441,830,000",54.00
"Sep 14, 2022","3,946.01","3,946.01","4,293,240,000",55.00
"Sep 13, 2022","3,932.69","3,932.69","4,224,550,000",56.00
"Sep 12, 2022","4,110.41","4,110.41","3,814,200,000",57.00
"Sep 09, 2022","4,067.36","4,067.36","3,901,940,000",58.00
"Sep 08, 2022","4,006.18","4,006.18","3,966,850,000",59.00
"Sep 07, 2022","3,979.87","3,979.87","3,890,320,000",60.00
"Sep 06, 2022","3,908.19","3,908.19","4,127,340,000",61.00
"Sep 02, 2022","3,924.26","3,924.26","3,665,850,000",62.00
"Sep 01, 2022","3,966.85","3,966.85","4,152,250,000",63.00
"Aug 31, 2022","3,955.00","3,955.00","4,542,490,000",64.00
"Aug 30, 2022","3,986.16","3,986.16","3,835,860,000",65.00
"Aug 29, 2022","4,030.61","4,030.61","3,396,510,000",66.00
"Aug 26, 2022","4,057.66","4,057.66","3,832,750,000",67.00
"Aug 25, 2022","4,199.12","4,199.12","3,566,870,000",68.00
"Aug 24, 2022","4,140.77","4,140.77","3,583,630,000",69.00
"Aug 23, 2022","4,128.73","4,128.73","3,823,520,000",70.00
"Aug 22, 2022","4,137.99","4,137.99","3,907,430,000",71.00
"Aug 19, 2022","4,228.48","4,228.48","3,761,340,000",72.00
"Aug 18, 2022","4,283.74","4,283.74","3,340,330,000",73.00
"Aug 17, 2022","4,274.04","4,274.04","3,885,030,000",74.00
"Aug 16, 2022","4,305.20","4,305.20","4,329,820,000",75.00
"Aug 15, 2022","4,297.14","4,297.14","3,696,830,000",76.00
