,Close,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
0,1.29484,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
1,1.29335,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
2,1.30491,2.7,2.3,4.18,1.82,0.07,1277.06,6166.569824
3,1.29425,2.7,2.3,4.18,1.82,0.07,1277.3,6111.549805
4,1.27879,2.7,2.3,4.18,1.82,0.07,1281.06,6095.990234
5,1.27186,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
6,1.27186,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
7,1.27186,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
8,1.27647,2.7,2.3,4.18,1.82,0.08,1280.7,6017.22998
9,1.27771,2.7,2.3,4.18,1.82,0.08,1292.08,6162.97998
10,1.27062,2.7,2.3,4.18,1.82,0.08,1292.48,6152.339844
11,1.28144,2.7,2.3,4.18,1.82,0.08,1295.5,6179.209961
12,1.26772,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
13,1.26772,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
14,1.26772,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
15,1.26664,2.7,2.3,4.18,1.82,0.09,1289.09,6220.009766
16,1.2736,2.7,2.3,4.18,1.82,0.09,1293.67,6332.930176
17,1.28627,2.7,2.3,4.18,1.82,0.09,1308.04,6354.569824
18,1.29681,2.7,2.3,4.18,1.82,0.1,1314.5,6416.259766
19,1.29308,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
20,1.29308,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
21,1.29308,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
22,1.30122,2.7,2.3,4.18,1.82,0.09,1316,6436.620117
23,1.30353,2.7,2.3,4.18,1.82,0.09,1314.65,6419.220215
24,1.31057,2.7,2.3,4.18,1.82,0.08,1326.05,6421.850098
25,1.3108,2.7,2.3,4.18,1.82,0.08,1318.43,6539.850098
26,1.32158,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
27,1.32158,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
28,1.32158,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
29,1.31429,2.7,2.3,4.18,1.82,0.09,1313.01,6444.450195
30,1.30831,2.7,2.3,4.18,1.82,0.11,1312.41,6458.910156
31,1.31602,2.7,2.2,4.01,1.85,0.11,1324.09,6616.640137
32,1.31433,2.7,2.2,4.01,1.85,0.11,1325.54,6655.629883
33,1.31563,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
34,1.31563,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
35,1.31563,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
36,1.31296,2.7,2.2,4.01,1.85,0.11,1344.33,6764.830078
37,1.32601,2.7,2.2,4.01,1.85,0.11,1347.05,6754.200195
38,1.32597,2.7,2.2,4.01,1.85,0.11,1349.96,6748.759766
39,1.32853,2.7,2.2,4.01,1.85,0.11,1351.95,6788.799805
40,1.31961,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
41,1.31961,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
42,1.31961,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
43,1.3186,2.7,2.2,4.01,1.85,0.12,1351.77,6738.470215
44,1.31303,2.7,2.2,4.01,1.85,0.12,1350.5,6728.189941
45,1.30652,2.7,2.2,4.01,1.85,0.12,1343.23,6757.939941
46,1.31298,2.7,2.2,4.01,1.85,0.11,1358.04,6751.959961
47,1.31425,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
48,1.31425,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
49,1.31425,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
50,1.32416,2.7,2.2,4.01,1.85,0.09,1361.23,6948.25
51,1.32329,2.7,2.2,4.01,1.85,0.1,1362.21,6908.180176
52,1.32493,2.7,2.2,4.01,1.85,0.08,1357.66,6843.870117
53,1.33707,2.7,2.2,4.01,1.85,0.08,1363.46,6809.459961
54,1.34461,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
55,1.34461,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
56,1.34461,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
57,1.33966,2.7,2.2,4.01,1.85,0.1,1367.59,6849.600098
58,1.34606,2.7,2.2,4.01,1.85,0.1,1372.18,6887.629883
59,1.33238,2.7,2.2,4.01,1.85,0.1,1365.68,6856.080078
60,1.33112,2.7,2.3,3.76,1.83,0.11,1374.09,6941.77002
61,1.32003,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
62,1.32003,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
63,1.32003,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
64,1.32162,2.7,2.3,3.76,1.83,0.11,1364.33,6866.459961
65,1.31116,2.7,2.3,3.76,1.83,0.11,1343.36,6633.109863
66,1.31491,2.7,2.3,3.76,1.83,0.11,1352.63,6671.109863
67,1.32741,2.7,2.3,3.76,1.83,0.11,1365.91,6834.540039
68,1.31227,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
69,1.31227,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
70,1.31227,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
71,1.31549,2.7,2.3,3.76,1.83,0.12,1371.09,6901.350098
72,1.30837,2.7,2.3,3.76,1.83,0.12,1395.95,6995.910156
73,1.30318,2.7,2.3,3.76,1.83,0.13,1394.28,7079.419922
74,1.30795,2.7,2.3,3.76,1.83,0.14,1402.6,7144.450195
75,1.31732,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
76,1.31732,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
77,1.31732,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
78,1.32375,2.7,2.3,3.76,1.83,0.15,1409.75,7154.220215
79,1.32252,2.7,2.3,3.76,1.83,0.15,1405.52,7054.939941
80,1.32151,2.7,2.3,3.76,1.83,0.15,1402.89,7071.319824
81,1.31999,2.7,2.3,3.76,1.83,0.14,1392.78,6981.259766
82,1.32684,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
83,1.32684,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
84,1.32684,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
85,1.33569,2.7,2.3,3.76,1.83,0.14,1416.51,7079.22998
86,1.33149,2.7,2.3,3.76,1.83,0.14,1412.52,7078.899902
87,1.33162,2.7,2.3,3.76,1.83,0.13,1405.54,6998.799805
88,1.33014,2.7,2.3,3.76,1.83,0.13,1403.28,6875.149902
89,1.33405,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
90,1.33405,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
91,1.33376,2.6,2.3,3.87,1.62,0.09,1408.47,6946.830078
92,1.33197,2.6,2.3,3.87,1.62,0.15,1419.04,7056.649902
93,1.32325,2.6,2.3,3.87,1.62,0.15,1413.38,6982.279785
94,1.31414,2.6,2.3,3.87,1.62,0.15,1398.96,6784.060059
95,1.30647,2.6,2.3,3.87,1.62,0.15,1398.08,6775.259766
96,1.30964,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
97,1.30964,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
98,1.30964,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
99,1.31051,2.6,2.3,3.87,1.62,0.16,1382.2,6775.259766
100,1.30809,2.6,2.3,3.87,1.62,0.15,1358.59,6606.430176
101,1.31086,2.6,2.3,3.87,1.62,0.16,1368.71,6674.72998
102,1.31867,2.6,2.3,3.87,1.62,0.15,1387.57,6743.240234
103,1.30755,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
104,1.30755,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
105,1.30755,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
106,1.31412,2.6,2.3,3.87,1.62,0.15,1369.57,6625.189941
107,1.31259,2.6,2.3,3.87,1.62,0.16,1390.78,6801
108,1.31223,2.6,2.3,3.87,1.62,0.15,1385.14,6732.029785
109,1.31367,2.6,2.3,3.87,1.62,0.13,1376.92,6671.220215
110,1.32159,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
111,1.32159,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
112,1.32159,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
113,1.31559,2.6,2.3,3.87,1.62,0.13,1366.94,6523
114,1.31958,2.6,2.3,3.87,1.62,0.14,1371.97,6590.410156
115,1.32162,2.6,2.3,3.87,1.62,0.15,1390.69,6704.5
116,1.32209,2.6,2.3,3.87,1.62,0.14,1399.98,6739.899902
117,1.32535,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
118,1.32535,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
119,1.32535,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
120,1.32384,2.6,2.3,3.87,1.62,0.16,1397.91,6761.189941
121,1.32362,2.4,2.3,3.82,1.34,0.16,1405.82,6761.189941
122,1.31578,2.4,2.3,3.82,1.34,0.15,1402.31,6710.77002
123,1.31499,2.4,2.3,3.82,1.34,0.15,1391.57,6694.439941
124,1.30824,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
125,1.30824,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
126,1.30824,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
127,1.305,2.4,2.3,3.82,1.34,0.16,1369.58,6569.47998
128,1.30049,2.4,2.3,3.82,1.34,0.16,1363.72,6444.740234
129,1.29279,2.4,2.3,3.82,1.34,0.15,1354.58,6475.310059
130,1.29351,2.4,2.3,3.82,1.34,0.15,1357.99,6518
131,1.29153,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
132,1.29153,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
133,1.29153,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
134,1.28228,2.4,2.3,3.82,1.34,0.16,1338.35,6451.970215
