Macrotrends Data Download,
,
,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
21/12/2009,1114.05
22/12/2009,1118.02
23/12/2009,1120.59
24/12/2009,1126.48
28/12/2009,1127.78
29/12/2009,1126.2
30/12/2009,1126.42
31/12/2009,1115.1
04/01/2010,1132.99
05/01/2010,1136.52
06/01/2010,1137.14
07/01/2010,1141.69
08/01/2010,1144.98
11/01/2010,1146.98
12/01/2010,1136.22
13/01/2010,1145.68
14/01/2010,1148.46
15/01/2010,1136.03
19/01/2010,1150.23
20/01/2010,1138.04
21/01/2010,1116.48
22/01/2010,1091.76
25/01/2010,1096.78
26/01/2010,1092.17
27/01/2010,1097.5
28/01/2010,1084.53
29/01/2010,1073.87
01/02/2010,1089.19
02/02/2010,1103.32
03/02/2010,1097.28
04/02/2010,1063.11
05/02/2010,1066.19
08/02/2010,1056.74
09/02/2010,1070.52
10/02/2010,1068.13
11/02/2010,1078.47
12/02/2010,1075.51
16/02/2010,1094.87
17/02/2010,1099.51
18/02/2010,1106.75
19/02/2010,1109.17
22/02/2010,1108.01
23/02/2010,1094.6
24/02/2010,1105.24
25/02/2010,1102.94
26/02/2010,1104.49
01/03/2010,1115.71
02/03/2010,1118.31
03/03/2010,1118.79
04/03/2010,1122.97
05/03/2010,1138.7
08/03/2010,1138.5
09/03/2010,1140.45
10/03/2010,1145.61
11/03/2010,1150.24
12/03/2010,1149.99
15/03/2010,1150.51
16/03/2010,1159.46
17/03/2010,1166.21
18/03/2010,1165.83
19/03/2010,1159.9
22/03/2010,1165.81
23/03/2010,1174.17
24/03/2010,1167.72
25/03/2010,1165.73
26/03/2010,1166.59
29/03/2010,1173.22
30/03/2010,1173.27
31/03/2010,1169.43
01/04/2010,1178.1
05/04/2010,1187.44
06/04/2010,1189.44
07/04/2010,1182.45
08/04/2010,1186.44
09/04/2010,1194.37
12/04/2010,1196.48
13/04/2010,1197.3
14/04/2010,1210.65
15/04/2010,1211.67
16/04/2010,1192.13
19/04/2010,1197.52
20/04/2010,1207.17
21/04/2010,1205.94
22/04/2010,1208.67
23/04/2010,1217.28
26/04/2010,1212.05
27/04/2010,1183.71
28/04/2010,1191.36
29/04/2010,1206.78
30/04/2010,1186.69
03/05/2010,1202.26
04/05/2010,1173.6
05/05/2010,1165.87
06/05/2010,1128.15
07/05/2010,1110.88
10/05/2010,1159.73
11/05/2010,1155.79
12/05/2010,1171.67
13/05/2010,1157.44
14/05/2010,1135.68
17/05/2010,1136.94
18/05/2010,1120.8
19/05/2010,1115.05
20/05/2010,1071.59
21/05/2010,1087.69
24/05/2010,1073.65
25/05/2010,1074.03
26/05/2010,1067.95
27/05/2010,1103.06
