date,conf,comment,status1,s1
31/01/2012,,"Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.",Normal value,2.7
29/02/2012,,,Normal value,2.7
31/03/2012,,,Normal value,2.7
30/04/2012,,,Normal value,2.6
31/05/2012,,,Normal value,2.4
30/06/2012,,,Normal value,2.4
31/07/2012,,,Normal value,2.4
31/08/2012,,,Normal value,2.6
30/09/2012,,,Normal value,2.6
31/10/2012,,,Normal value,2.5
30/11/2012,,,Normal value,2.2
31/12/2012,,,Normal value,2.2
31/01/2013,,,Normal value,2
28/02/2013,,,Normal value,1.9
31/03/2013,,,Normal value,1.7
30/04/2013,,,Normal value,1.2
31/05/2013,,,Normal value,1.4
30/06/2013,,,Normal value,1.6
31/07/2013,,,Normal value,1.6
31/08/2013,,,Normal value,1.3
30/09/2013,,,Normal value,1.1
31/10/2013,,,Normal value,0.7
30/11/2013,,,Normal value,0.9
31/12/2013,,,Normal value,0.8
31/01/2014,,,Normal value,0.8
28/02/2014,,,Normal value,0.7
31/03/2014,,,Normal value,0.5
30/04/2014,,,Normal value,0.7
31/05/2014,,,Normal value,0.5
30/06/2014,,,Normal value,0.5
31/07/2014,,,Normal value,0.4
31/08/2014,,,Normal value,0.4
30/09/2014,,,Normal value,0.3
31/10/2014,,,Normal value,0.4
30/11/2014,,,Normal value,0.3
31/12/2014,,,Normal value,-0.2
31/01/2015,,,Normal value,-0.6
28/02/2015,,,Normal value,-0.3
31/03/2015,,,Normal value,-0.1
30/04/2015,,,Normal value,0.2
31/05/2015,,,Normal value,0.6
30/06/2015,,,Normal value,0.5
31/07/2015,,,Normal value,0.5
31/08/2015,,,Normal value,0.4
30/09/2015,,,Normal value,0.2
31/10/2015,,,Normal value,0.4
30/11/2015,,,Normal value,0.1
31/12/2015,,,Normal value,0.3
31/01/2016,,,Normal value,0.3
29/02/2016,,,Normal value,-0.1
31/03/2016,,,Normal value,0
30/04/2016,,,Normal value,-0.3
31/05/2016,,,Normal value,-0.1
30/06/2016,,,Normal value,0
31/07/2016,,,Normal value,0.2
31/08/2016,,,Normal value,0.2
30/09/2016,,,Normal value,0.4
31/10/2016,,,Normal value,0.5
30/11/2016,,,Normal value,0.6
31/12/2016,,,Normal value,1.1
31/01/2017,,,Normal value,1.7
28/02/2017,,,Normal value,2
31/03/2017,,,Normal value,1.5
30/04/2017,,,Normal value,1.9
31/05/2017,,,Normal value,1.4
30/06/2017,,,Normal value,1.3
31/07/2017,,,Normal value,1.3
31/08/2017,,,Normal value,1.5
30/09/2017,,,Normal value,1.6
31/10/2017,,,Normal value,1.4
30/11/2017,,,Normal value,1.5
31/12/2017,,,Normal value,1.3
31/01/2018,,,Normal value,1.3
28/02/2018,,,Normal value,1.1
31/03/2018,,,Normal value,1.4
30/04/2018,,,Normal value,1.2
31/05/2018,,,Normal value,2
30/06/2018,,,Normal value,2
31/07/2018,,,Normal value,2.2
31/08/2018,,,Normal value,2.1
30/09/2018,,,Normal value,2.1
31/10/2018,,,Normal value,2.3
30/11/2018,,,Normal value,1.9
31/12/2018,,,Normal value,1.5
31/01/2019,,,Normal value,1.4
28/02/2019,,,Normal value,1.5
31/03/2019,,,Normal value,1.4
30/04/2019,,,Normal value,1.7
31/05/2019,,,Normal value,1.2
30/06/2019,,,Normal value,1.3
31/07/2019,,,Normal value,1
31/08/2019,,,Normal value,1
30/09/2019,,,Normal value,0.8
31/10/2019,,,Normal value,0.7
30/11/2019,,,Normal value,1
31/12/2019,,,Normal value,1.3
31/01/2020,,,Normal value,1.4
29/02/2020,,,Normal value,1.2
31/03/2020,,,Normal value,0.7
30/04/2020,,,Normal value,0.3
31/05/2020,,,Normal value,0.1
30/06/2020,,,Normal value,0.3
31/07/2020,,,Normal value,0.4
31/08/2020,,,Normal value,-0.2
30/09/2020,,,Normal value,-0.3
31/10/2020,,,Normal value,-0.3
30/11/2020,,,Normal value,-0.3
31/12/2020,,,Normal value,-0.3
31/01/2021,,,Normal value,0.9
28/02/2021,,,Normal value,0.9
31/03/2021,,,Normal value,1.3
30/04/2021,,,Normal value,1.6
31/05/2021,,,Normal value,2
30/06/2021,,,Normal value,1.9
31/07/2021,,,Normal value,2.2
31/08/2021,,,Normal value,3
30/09/2021,,,Normal value,3.4
31/10/2021,,,Normal value,4.1
30/11/2021,,,Normal value,4.9
31/12/2021,,,Normal value,5
31/01/2022,,,Normal value,5.1
28/02/2022,,,Normal value,5.9
31/03/2022,,,Normal value,7.4
30/04/2022,,,Normal value,7.4
31/05/2022,,,Normal value,8.1
30/06/2022,,,Normal value,8.6
31/07/2022,,,Normal value,8.9
31/08/2022,,,Normal value,9.1
30/09/2022,,,Normal value,9.9
31/10/2022,,,Normal value,10.6
30/11/2022,,,Normal value,10.1
