date,conf,status1,s1
31/01/2012,,Normal value,2.3
29/02/2012,,Normal value,2.2
31/03/2012,,Normal value,2.3
30/04/2012,,Normal value,2.3
31/05/2012,,Normal value,2.3
30/06/2012,,Normal value,2.2
31/07/2012,,Normal value,2.1
31/08/2012,,Normal value,1.9
30/09/2012,,Normal value,2
31/10/2012,,Normal value,2
30/11/2012,,Normal value,1.9
31/12/2012,,Normal value,1.9
31/01/2013,,Normal value,1.9
28/02/2013,,Normal value,2
31/03/2013,,Normal value,1.9
30/04/2013,,Normal value,1.7
31/05/2013,,Normal value,1.7
30/06/2013,,Normal value,1.6
31/07/2013,,Normal value,1.7
31/08/2013,,Normal value,1.8
30/09/2013,,Normal value,1.7
31/10/2013,,Normal value,1.7
30/11/2013,,Normal value,1.7
31/12/2013,,Normal value,1.7
31/01/2014,,Normal value,1.6
28/02/2014,,Normal value,1.6
31/03/2014,,Normal value,1.7
30/04/2014,,Normal value,1.8
31/05/2014,,Normal value,2
30/06/2014,,Normal value,1.9
31/07/2014,,Normal value,1.9
31/08/2014,,Normal value,1.7
30/09/2014,,Normal value,1.7
31/10/2014,,Normal value,1.8
30/11/2014,,Normal value,1.7
31/12/2014,,Normal value,1.6
31/01/2015,,Normal value,1.6
28/02/2015,,Normal value,1.7
31/03/2015,,Normal value,1.8
30/04/2015,,Normal value,1.8
31/05/2015,,Normal value,1.7
30/06/2015,,Normal value,1.8
31/07/2015,,Normal value,1.8
31/08/2015,,Normal value,1.8
30/09/2015,,Normal value,1.9
31/10/2015,,Normal value,1.9
30/11/2015,,Normal value,2
31/12/2015,,Normal value,2.1
31/01/2016,,Normal value,2.2
29/02/2016,,Normal value,2.3
31/03/2016,,Normal value,2.2
30/04/2016,,Normal value,2.1
31/05/2016,,Normal value,2.2
30/06/2016,,Normal value,2.2
31/07/2016,,Normal value,2.2
31/08/2016,,Normal value,2.3
30/09/2016,,Normal value,2.2
31/10/2016,,Normal value,2.1
30/11/2016,,Normal value,2.1
31/12/2016,,Normal value,2.2
31/01/2017,,Normal value,2.3
28/02/2017,,Normal value,2.2
31/03/2017,,Normal value,2
30/04/2017,,Normal value,1.9
31/05/2017,,Normal value,1.7
30/06/2017,,Normal value,1.7
31/07/2017,,Normal value,1.7
31/08/2017,,Normal value,1.7
30/09/2017,,Normal value,1.7
31/10/2017,,Normal value,1.8
30/11/2017,,Normal value,1.7
31/12/2017,,Normal value,1.8
31/01/2018,,Normal value,1.8
28/02/2018,,Normal value,1.8
31/03/2018,,Normal value,2.1
30/04/2018,,Normal value,2.1
31/05/2018,,Normal value,2.2
30/06/2018,,Normal value,2.3
31/07/2018,,Normal value,2.4
31/08/2018,,Normal value,2.2
30/09/2018,,Normal value,2.2
31/10/2018,,Normal value,2.1
30/11/2018,,Normal value,2.2
31/12/2018,,Normal value,2.2
31/01/2019,,Normal value,2.2
28/02/2019,,Normal value,2.1
31/03/2019,,Normal value,2
30/04/2019,,Normal value,2.1
31/05/2019,,Normal value,2
30/06/2019,,Normal value,2.1
31/07/2019,,Normal value,2.2
31/08/2019,,Normal value,2.4
30/09/2019,,Normal value,2.4
31/10/2019,,Normal value,2.3
30/11/2019,,Normal value,2.3
31/12/2019,,Normal value,2.3
31/01/2020,,Normal value,2.3
29/02/2020,,Normal value,2.4
31/03/2020,,Normal value,2.1
30/04/2020,,Normal value,1.4
31/05/2020,,Normal value,1.2
30/06/2020,,Normal value,1.2
31/07/2020,,Normal value,1.6
31/08/2020,,Normal value,1.7
30/09/2020,,Normal value,1.7
31/10/2020,,Normal value,1.6
30/11/2020,,Normal value,1.6
31/12/2020,,Normal value,1.6
31/01/2021,,Normal value,1.4
28/02/2021,,Normal value,1.3
31/03/2021,,Normal value,1.6
30/04/2021,,Normal value,3
31/05/2021,,Normal value,3.8
30/06/2021,,Normal value,4.5
31/07/2021,,Normal value,4.3
31/08/2021,,Normal value,4
30/09/2021,,Normal value,4
31/10/2021,,Normal value,4.6
30/11/2021,,Normal value,4.9
31/12/2021,,Normal value,5.5
31/01/2022,,Normal value,6
28/02/2022,,Normal value,6.4
31/03/2022,,Normal value,6.5
30/04/2022,,Normal value,6.2
31/05/2022,,Normal value,6
30/06/2022,,Normal value,5.9
31/07/2022,,Normal value,5.9
31/08/2022,,Normal value,6.3
30/09/2022,,Normal value,6.6
31/10/2022,,Normal value,6.3
30/11/2022,,Normal value,6
