date,conf,status1,s1
31/01/2012,,Normal value,4.18
29/02/2012,,Normal value,4.01
31/03/2012,,Normal value,3.76
30/04/2012,,Normal value,3.87
31/05/2012,,Normal value,3.82
30/06/2012,,Normal value,3.79
31/07/2012,,Normal value,3.63
31/08/2012,,Normal value,3.54
30/09/2012,,Normal value,3.37
31/10/2012,,Normal value,3.2
30/11/2012,,Normal value,3.1
31/12/2012,,Normal value,2.87
31/01/2013,,Normal value,2.87
28/02/2013,,Normal value,2.97
31/03/2013,,Normal value,2.84
30/04/2013,,Normal value,2.61
31/05/2013,,Normal value,2.52
30/06/2013,,Normal value,2.89
31/07/2013,,Normal value,2.96
31/08/2013,,Normal value,3.06
30/09/2013,,Normal value,3.18
31/10/2013,,Normal value,2.98
30/11/2013,,Normal value,2.89
31/12/2013,,Normal value,2.97
31/01/2014,,Normal value,2.87
28/02/2014,,Normal value,2.72
31/03/2014,,Normal value,2.58
30/04/2014,,Normal value,2.46
31/05/2014,,Normal value,2.32
30/06/2014,,Normal value,2.2
31/07/2014,,Normal value,2.08
31/08/2014,,Normal value,1.92
30/09/2014,,Normal value,1.81
31/10/2014,,Normal value,1.71
30/11/2014,,Normal value,1.61
31/12/2014,,Normal value,1.43
31/01/2015,,Normal value,1.2
28/02/2015,,Normal value,1.17
31/03/2015,,Normal value,1.1
30/04/2015,,Normal value,1.09
31/05/2015,,Normal value,1.48
30/06/2015,,Normal value,1.78
31/07/2015,,Normal value,1.54
31/08/2015,,Normal value,1.53
30/09/2015,,Normal value,1.53
31/10/2015,,Normal value,1.37
30/11/2015,,Normal value,1.37
31/12/2015,,Normal value,1.41
31/01/2016,,Normal value,1.36
29/02/2016,,Normal value,1.23
31/03/2016,,Normal value,1.13
30/04/2016,,Normal value,1.13
31/05/2016,,Normal value,1.12
30/06/2016,,Normal value,1.01
31/07/2016,,Normal value,0.78
31/08/2016,,Normal value,0.72
30/09/2016,,Normal value,0.79
31/10/2016,,Normal value,0.91
30/11/2016,,Normal value,1.2
31/12/2016,,Normal value,1.24
31/01/2017,,Normal value,1.29
28/02/2017,,Normal value,1.39
31/03/2017,,Normal value,1.39
30/04/2017,,Normal value,1.26
31/05/2017,,Normal value,1.25
30/06/2017,,Normal value,1.14
31/07/2017,,Normal value,1.33
31/08/2017,,Normal value,1.23
30/09/2017,,Normal value,1.21
31/10/2017,,Normal value,1.25
30/11/2017,,Normal value,1.14
31/12/2017,,Normal value,1.09
31/01/2018,,Normal value,1.23
28/02/2018,,Normal value,1.38
31/03/2018,,Normal value,1.27
30/04/2018,,Normal value,1.19
31/05/2018,,Normal value,1.27
30/06/2018,,Normal value,1.29
31/07/2018,,Normal value,1.22
31/08/2018,,Normal value,1.3
30/09/2018,,Normal value,1.36
31/10/2018,,Normal value,1.47
30/11/2018,,Normal value,1.4
31/12/2018,,Normal value,1.23
31/01/2019,,Normal value,1.16
28/02/2019,,Normal value,1.09
31/03/2019,,Normal value,1.02
30/04/2019,,Normal value,0.97
31/05/2019,,Normal value,0.9
30/06/2019,,Normal value,0.63
31/07/2019,,Normal value,0.44
31/08/2019,,Normal value,0.19
30/09/2019,,Normal value,0.18
31/10/2019,,Normal value,0.25
30/11/2019,,Normal value,0.39
31/12/2019,,Normal value,0.44
31/01/2020,,Normal value,0.42
29/02/2020,,Normal value,0.25
31/03/2020,,Normal value,0.33
30/04/2020,,Normal value,0.42
31/05/2020,,Normal value,0.33
30/06/2020,,Normal value,0.28
31/07/2020,,Normal value,0.17
31/08/2020,,Normal value,0.14
30/09/2020,,Normal value,0.13
31/10/2020,,Normal value,0.04
30/11/2020,,Normal value,0.02
31/12/2020,,Normal value,0
31/01/2021,,Normal value,0.03
28/02/2021,,Normal value,0.18
31/03/2021,,Normal value,0.31
30/04/2021,,Normal value,0.35
31/05/2021,,Normal value,0.48
30/06/2021,,Normal value,0.42
31/07/2021,,Normal value,0.28
31/08/2021,,Normal value,0.19
30/09/2021,,Normal value,0.36
31/10/2021,,Normal value,0.58
30/11/2021,,Normal value,0.56
31/12/2021,,Normal value,0.53
31/01/2022,,Normal value,0.82
28/02/2022,,Normal value,1.13
31/03/2022,,Normal value,1.31
30/04/2022,,Normal value,1.82
31/05/2022,,Normal value,2.12
30/06/2022,,Normal value,2.65
31/07/2022,,Normal value,2.3
31/08/2022,,Normal value,2.25
30/09/2022,,Normal value,3.05
31/10/2022,,Normal value,3.54
30/11/2022,,Normal value,3.25
