date,value
20/12/2012,1443.69
21/12/2012,1430.15
22/12/2012,1426.66
23/12/2012,1426.66
24/12/2012,1426.66
25/12/2012,1426.66
26/12/2012,1419.83
27/12/2012,1418.1
28/12/2012,1402.43
29/12/2012,1426.19
30/12/2012,1426.19
31/12/2012,1426.19
01/01/2013,1426.19
02/01/2013,1513.17
03/01/2013,1518.2
04/01/2013,1562.17
05/01/2013,1582.7
06/01/2013,1614.96
07/01/2013,1614.96
08/01/2013,1706.87
09/01/2013,1695
10/01/2013,1695
11/01/2013,1761.64
12/01/2013,1470.68
13/01/2013,1470.68
14/01/2013,1470.68
15/01/2013,1472.34
16/01/2013,1472.63
17/01/2013,1480.94
18/01/2013,1485.98
19/01/2013,1485.98
20/01/2013,1485.98
21/01/2013,1485.98
22/01/2013,1492.56
23/01/2013,1494.81
24/01/2013,1494.82
25/01/2013,1502.96
26/01/2013,1500.18
27/01/2013,1500.18
28/01/2013,1500.18
29/01/2013,1507.84
30/01/2013,1501.96
31/01/2013,1498.11
01/02/2013,1462.42
02/02/2013,1570.25
03/02/2013,1570.25
04/02/2013,1570.25
05/02/2013,1597.59
06/02/2013,1614.08
07/02/2013,1614.08
08/02/2013,1709.67
09/02/2013,1632.97
10/02/2013,1693.87
11/02/2013,1800.9
12/02/2013,1800.9
13/02/2013,1520.33
14/02/2013,1521.38
15/02/2013,1519.79
16/02/2013,1519.79
17/02/2013,1519.79
18/02/2013,1519.79
19/02/2013,1530.94
20/02/2013,1511.95
21/02/2013,1502.42
22/02/2013,1515.6
23/02/2013,1487.85
24/02/2013,1487.85
25/02/2013,1487.85
26/02/2013,1496.94
27/02/2013,1515.99
28/02/2013,1514.68
01/03/2013,1459.37
02/03/2013,1553.69
03/03/2013,1553.69
04/03/2013,1553.69
05/03/2013,1614.42
06/03/2013,1640.42
07/03/2013,1615.41
08/03/2013,1639.77
09/03/2013,1639.77
10/03/2013,1678.66
11/03/2013,1795.15
12/03/2013,1795.15
13/03/2013,1554.52
14/03/2013,1563.23
15/03/2013,1560.7
16/03/2013,1552.1
17/03/2013,1552.1
18/03/2013,1552.1
19/03/2013,1548.34
20/03/2013,1558.71
21/03/2013,1545.8
22/03/2013,1556.89
23/03/2013,1551.69
24/03/2013,1551.69
25/03/2013,1551.69
26/03/2013,1563.77
27/03/2013,1562.85
28/03/2013,1569.19
29/03/2013,1569.19
30/03/2013,1466.47
31/03/2013,1466.47
01/04/2013,1466.47
02/04/2013,1495.71
03/04/2013,1525.2
04/04/2013,1559.98
05/04/2013,1631.38
06/04/2013,1631.38
07/04/2013,1615.41
08/04/2013,1653.08
09/04/2013,1653.08
10/04/2013,1690.5
11/04/2013,1767.93
12/04/2013,1792.81
13/04/2013,1552.36
14/04/2013,1552.36
15/04/2013,1552.36
16/04/2013,1574.57
17/04/2013,1552.01
18/04/2013,1541.61
19/04/2013,1555.25
20/04/2013,1562.5
21/04/2013,1562.5
22/04/2013,1562.5
23/04/2013,1578.78
24/04/2013,1578.79
25/04/2013,1585.16
26/04/2013,1582.24
27/04/2013,1593.61
28/04/2013,1593.61
29/04/2013,1593.61
30/04/2013,1597.57
01/05/2013,1511.29
02/05/2013,1511.29
03/05/2013,1539.79
04/05/2013,1553.28
05/05/2013,1608.9
06/05/2013,1608.9
07/05/2013,1631.89
08/05/2013,1707.14
09/05/2013,1655.08
10/05/2013,1762.97
11/05/2013,1762.97
12/05/2013,1785.03
13/05/2013,1633.77
14/05/2013,1650.34
15/05/2013,1658.78
16/05/2013,1650.47
17/05/2013,1667.47
18/05/2013,1666.29
19/05/2013,1666.29
20/05/2013,1666.29
21/05/2013,1669.16
22/05/2013,1655.35
23/05/2013,1650.51
24/05/2013,1649.6
25/05/2013,1649.6
26/05/2013,1649.6
27/05/2013,1649.6
28/05/2013,1660.06
29/05/2013,1648.36
30/05/2013,1654.41
31/05/2013,1630.74
01/06/2013,1512.12
02/06/2013,1512.12
03/06/2013,1541.46
04/06/2013,1617.5
05/06/2013,1617.5
06/06/2013,1622.56
07/06/2013,1697.37
08/06/2013,1697.37
09/06/2013,1655.17
10/06/2013,1770.49
11/06/2013,1770.49
12/06/2013,1805.09
13/06/2013,1636.36
14/06/2013,1626.73
15/06/2013,1639.04
16/06/2013,1639.04
17/06/2013,1639.04
18/06/2013,1651.81
19/06/2013,1628.93
20/06/2013,1588.19
21/06/2013,1592.43
22/06/2013,1573.09
23/06/2013,1573.09
24/06/2013,1573.09
25/06/2013,1588.03
26/06/2013,1603.26
27/06/2013,1613.2
28/06/2013,1606.28
29/06/2013,1461.89
30/06/2013,1461.89
01/07/2013,1461.89
02/07/2013,1509.39
03/07/2013,1544.26
04/07/2013,1625.96
05/07/2013,1625.96
06/07/2013,1643.38
07/07/2013,1690.91
08/07/2013,1690.91
09/07/2013,1676.12
10/07/2013,1676.12
11/07/2013,1747.15
12/07/2013,1682.5
13/07/2013,1682.5
14/07/2013,1682.5
15/07/2013,1682.5
16/07/2013,1676.26
17/07/2013,1680.91
18/07/2013,1689.37
19/07/2013,1692.09
20/07/2013,1695.53
21/07/2013,1695.53
22/07/2013,1695.53
23/07/2013,1692.39
24/07/2013,1685.94
25/07/2013,1690.25
26/07/2013,1691.65
27/07/2013,1685.33
28/07/2013,1685.33
29/07/2013,1685.33
30/07/2013,1685.96
31/07/2013,1685.73
01/08/2013,1457.15
02/08/2013,1517.93
03/08/2013,1551.18
04/08/2013,1563.07
05/08/2013,1632.69
06/08/2013,1640.46
07/08/2013,1640.46
08/08/2013,1697.48
09/08/2013,1655.45
10/08/2013,1655.45
11/08/2013,1770.61
