date,value
01/03/2012,1277.06
01/04/2012,1277.3
01/05/2012,1281.06
01/06/2012,1277.81
01/09/2012,1280.7
01/10/2012,1292.08
01/11/2012,1292.48
01/12/2012,1295.5
01/13/2012,1289.09
01/17/2012,1293.67
01/18/2012,1308.04
01/19/2012,1314.5
01/20/2012,1315.38
01/23/2012,1316
01/24/2012,1314.65
01/25/2012,1326.05
01/26/2012,1318.43
01/27/2012,1316.33
01/30/2012,1313.01
01/31/2012,1312.41
02/01/2012,1324.09
02/02/2012,1325.54
02/03/2012,1344.9
02/06/2012,1344.33
02/07/2012,1347.05
02/08/2012,1349.96
02/09/2012,1351.95
02/10/2012,1342.64
02/13/2012,1351.77
02/14/2012,1350.5
02/15/2012,1343.23
02/16/2012,1358.04
02/17/2012,1361.23
02/21/2012,1362.21
02/22/2012,1357.66
02/23/2012,1363.46
02/24/2012,1365.74
02/27/2012,1367.59
02/28/2012,1372.18
02/29/2012,1365.68
03/01/2012,1374.09
03/02/2012,1369.63
03/05/2012,1364.33
03/06/2012,1343.36
03/07/2012,1352.63
03/08/2012,1365.91
03/09/2012,1370.87
03/12/2012,1371.09
03/13/2012,1395.95
03/14/2012,1394.28
03/15/2012,1402.6
03/16/2012,1404.17
03/19/2012,1409.75
03/20/2012,1405.52
03/21/2012,1402.89
03/22/2012,1392.78
03/23/2012,1397.11
03/26/2012,1416.51
03/27/2012,1412.52
03/28/2012,1405.54
03/29/2012,1403.28
03/30/2012,1408.47
04/02/2012,1419.04
04/03/2012,1413.38
04/04/2012,1398.96
04/05/2012,1398.08
04/09/2012,1382.2
04/10/2012,1358.59
04/11/2012,1368.71
04/12/2012,1387.57
04/13/2012,1370.26
04/16/2012,1369.57
04/17/2012,1390.78
04/18/2012,1385.14
04/19/2012,1376.92
04/20/2012,1378.53
04/23/2012,1366.94
04/24/2012,1371.97
04/25/2012,1390.69
04/26/2012,1399.98
04/27/2012,1403.36
04/30/2012,1397.91
05/01/2012,1405.82
05/02/2012,1402.31
05/03/2012,1391.57
05/04/2012,1369.1
05/07/2012,1369.58
05/08/2012,1363.72
05/09/2012,1354.58
05/10/2012,1357.99
05/11/2012,1353.39
05/14/2012,1338.35
05/15/2012,1330.66
05/16/2012,1324.8
05/17/2012,1304.86
05/18/2012,1295.22
05/21/2012,1315.99
05/22/2012,1316.63
05/23/2012,1318.86
05/24/2012,1320.68
05/25/2012,1317.82
05/29/2012,1332.42
05/30/2012,1313.32
05/31/2012,1310.33
06/01/2012,1278.04
06/04/2012,1278.18
06/05/2012,1285.5
06/06/2012,1315.13
06/07/2012,1314.99
06/08/2012,1325.66
06/11/2012,1308.93
06/12/2012,1324.18
06/13/2012,1314.88
06/14/2012,1329.1
06/15/2012,1342.84
06/18/2012,1344.78
06/19/2012,1357.98
06/20/2012,1355.69
06/21/2012,1325.51
06/22/2012,1335.02
06/25/2012,1313.72
06/26/2012,1319.99
06/27/2012,1331.85
06/28/2012,1329.04
06/29/2012,1362.16
07/02/2012,1365.51
07/03/2012,1374.02
07/05/2012,1367.58
07/06/2012,1354.68
07/09/2012,1352.46
07/10/2012,1341.47
07/11/2012,1341.45
07/12/2012,1334.76
07/13/2012,1356.78
07/16/2012,1353.64
07/17/2012,1363.67
07/18/2012,1372.78
07/19/2012,1376.51
07/20/2012,1362.66
07/23/2012,1350.52
07/24/2012,1338.31
07/25/2012,1337.89
07/26/2012,1360.02
07/27/2012,1385.97
07/30/2012,1385.3
07/31/2012,1379.32
08/01/2012,1375.14
08/02/2012,1365
08/03/2012,1390.99
08/06/2012,1394.23
08/07/2012,1401.35
08/08/2012,1402.22
08/09/2012,1402.8
08/10/2012,1405.87
08/13/2012,1404.11
08/14/2012,1403.93
08/15/2012,1405.53
08/16/2012,1415.51
08/17/2012,1418.16
08/20/2012,1418.13
08/21/2012,1413.17
08/22/2012,1413.49
08/23/2012,1402.08
08/24/2012,1411.13
08/27/2012,1410.44
08/28/2012,1409.3
08/29/2012,1410.49
08/30/2012,1399.48
08/31/2012,1406.58
09/04/2012,1404.94
09/05/2012,1403.44
09/06/2012,1432.12
09/07/2012,1437.92
09/10/2012,1429.08
09/11/2012,1433.56
09/12/2012,1436.56
09/13/2012,1459.99
09/14/2012,1465.77
09/17/2012,1461.19
09/18/2012,1459.32
09/19/2012,1461.05
09/20/2012,1460.26
09/21/2012,1460.15
09/24/2012,1456.89
09/25/2012,1441.59
09/26/2012,1433.32
09/27/2012,1447.15
09/28/2012,1440.67
10/01/2012,1444.49
10/02/2012,1445.75
10/03/2012,1450.99
10/04/2012,1461.4
10/05/2012,1460.93
10/08/2012,1455.88
10/09/2012,1441.48
10/10/2012,1432.56
10/11/2012,1432.84
10/12/2012,1428.59
10/15/2012,1440.13
10/16/2012,1454.92
10/17/2012,1460.91
10/18/2012,1457.34
10/19/2012,1433.19
10/22/2012,1433.82
10/23/2012,1413.11
10/24/2012,1408.75
10/25/2012,1412.97
10/26/2012,1411.94
10/31/2012,1412.16
11/01/2012,1427.59
11/02/2012,1414.2
11/05/2012,1417.26
11/06/2012,1428.39
11/07/2012,1394.53
11/08/2012,1377.51
11/09/2012,1379.85
