date,value
02/01/2012,1324.09
03/01/2012,1374.09
04/01/2012,
05/01/2012,1405.82
06/01/2012,1278.04
07/01/2012,
08/01/2012,1375.14
09/01/2012,
10/01/2012,1444.49
11/01/2012,1427.59
12/01/2012,
13/01/2012,1289.09
14/01/2012,
15/01/2012,
16/01/2012,
17/01/2012,1293.67
18/01/2012,1308.04
19/01/2012,1314.5
20/01/2012,1315.38
21/01/2012,
22/01/2012,
23/01/2012,1316
24/01/2012,1314.65
25/01/2012,1326.05
26/01/2012,1318.43
27/01/2012,1316.33
28/01/2012,
29/01/2012,
30/01/2012,1313.01
31/01/2012,1312.41
01/02/2012,
02/02/2012,1325.54
03/02/2012,1369.63
04/02/2012,1419.04
05/02/2012,1402.31
06/02/2012,
07/02/2012,1365.51
08/02/2012,1365
09/02/2012,
10/02/2012,1445.75
11/02/2012,1414.2
12/02/2012,
13/02/2012,1351.77
14/02/2012,1350.5
15/02/2012,1343.23
16/02/2012,1358.04
17/02/2012,1361.23
18/02/2012,
19/02/2012,
20/02/2012,
21/02/2012,1362.21
22/02/2012,1357.66
23/02/2012,1363.46
24/02/2012,1365.74
25/02/2012,
26/02/2012,
27/02/2012,1367.59
28/02/2012,1372.18
29/02/2012,1365.68
01/03/2012,1277.06
02/03/2012,1344.9
03/03/2012,
04/03/2012,1413.38
05/03/2012,1391.57
06/03/2012,
07/03/2012,1374.02
08/03/2012,1390.99
09/03/2012,
10/03/2012,1450.99
11/03/2012,
12/03/2012,1409.46
13/03/2012,1395.95
14/03/2012,1394.28
15/03/2012,1402.6
16/03/2012,1404.17
17/03/2012,
18/03/2012,
19/03/2012,1409.75
20/03/2012,1405.52
21/03/2012,1402.89
22/03/2012,1392.78
23/03/2012,1397.11
24/03/2012,
25/03/2012,
26/03/2012,1416.51
27/03/2012,1412.52
28/03/2012,1405.54
29/03/2012,1403.28
30/03/2012,1408.47
31/03/2012,
01/04/2012,1277.3
02/04/2012,
03/04/2012,
04/04/2012,1398.96
05/04/2012,1369.1
06/04/2012,1278.18
07/04/2012,
08/04/2012,
09/04/2012,1404.94
10/04/2012,1461.4
11/04/2012,
12/04/2012,1407.05
13/04/2012,1370.26
14/04/2012,
15/04/2012,
16/04/2012,1369.57
17/04/2012,1390.78
18/04/2012,1385.14
19/04/2012,1376.92
20/04/2012,1378.53
21/04/2012,
22/04/2012,
23/04/2012,1366.94
24/04/2012,1371.97
25/04/2012,1390.69
26/04/2012,1399.98
27/04/2012,1403.36
28/04/2012,
29/04/2012,
30/04/2012,1397.91
01/05/2012,1281.06
02/05/2012,
03/05/2012,1364.33
04/05/2012,1398.08
05/05/2012,
06/05/2012,1285.5
07/05/2012,1367.58
08/05/2012,
09/05/2012,1403.44
10/05/2012,1460.93
11/05/2012,1417.26
12/05/2012,1409.28
13/05/2012,
14/05/2012,1338.35
15/05/2012,1330.66
16/05/2012,1324.8
17/05/2012,1304.86
18/05/2012,1295.22
19/05/2012,
20/05/2012,
21/05/2012,1315.99
22/05/2012,1316.63
23/05/2012,1318.86
24/05/2012,1320.68
25/05/2012,1317.82
26/05/2012,
27/05/2012,
28/05/2012,
29/05/2012,1332.42
30/05/2012,1313.32
31/05/2012,1310.33
01/06/2012,1277.81
02/06/2012,1344.33
03/06/2012,1343.36
04/06/2012,
05/06/2012,
06/06/2012,1315.13
07/06/2012,1354.68
08/06/2012,1394.23
09/06/2012,1432.12
10/06/2012,
11/06/2012,1428.39
12/06/2012,1413.94
