,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
0,1.29484,,0,,,,,,,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
1,1.29335,,-0.00011886,-0.001150721,,0,,,,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
2,1.30491,,0.000711535,0.008938029,,89.60545694,,,,2.7,2.3,4.18,1.82,0.07,1277.06,6166.569824
3,1.29425,,0.000503651,-0.008169146,-0.00059,46.71566933,,,,2.7,2.3,4.18,1.82,0.07,1277.3,6111.549805
4,1.27879,,-0.000898237,-0.011945142,-0.01456,26.37350752,,,,2.7,2.3,4.18,1.82,0.07,1281.06,6095.990234
5,1.27186,,-0.002539167,-0.005419185,-0.03305,21.67308855,,,,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
6,1.27647,,-0.00342811,0.003624613,-0.01778,30.79027772,,,,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
7,1.27771,,-0.003986591,0.000971429,-0.00108,33.11699694,,,,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
8,1.27062,,-0.0049443,-0.00554899,-0.00124,27.28869901,,,,2.7,2.3,4.18,1.82,0.08,1280.7,6017.22998
9,1.28144,1.284424,-0.004775163,0.008515528,0.00497,44.00020975,,,,2.7,2.3,4.18,1.82,0.08,1292.08,6162.97998
10,1.26772,1.281712,-0.005682703,-0.010706705,-0.00999,33.23740902,,,,2.7,2.3,4.18,1.82,0.08,1292.48,6152.339844
11,1.26664,1.279041,-0.006415133,-0.000851923,-0.00398,32.54121317,,,,2.7,2.3,4.18,1.82,0.08,1295.5,6179.209961
12,1.2736,1.27591,-0.006360653,0.005494853,-0.00784,41.33940989,,,,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
13,1.28627,1.275112,-0.005234771,0.009948178,0.01855,53.58407735,,,,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
14,1.29681,1.276914,-0.003452217,0.008194236,0.03017,61.09114754,,,,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
15,1.29308,1.279036,-0.002313837,-0.002876289,0.01948,57.43830608,,,,2.7,2.3,4.18,1.82,0.09,1289.09,6220.009766
16,1.30122,1.281511,-0.00074623,0.006295047,0.01495,62.82775538,,,,2.7,2.3,4.18,1.82,0.09,1293.67,6332.930176
17,1.30353,1.284093,0.000674729,0.001775257,0.00672,64.25496031,,,,2.7,2.3,4.18,1.82,0.09,1308.04,6354.569824
